Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Ground Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content,geometry,Zoning_map,Land_use_map
573779307,573779307,RES,RES1-3SWB,411444.32,205722.16,5.366870049,-79.92826814,32.77291566,450000000000000.0,1,centroid,RES1-3SWB,RES1-3SWB,POINT (-79.92826814 32.77291566),SR-4,Neighborhood
573779313,573779313,RES,RES1-2SWB,694696.632,347348.316,8.333255254,-79.92764997,32.77305777,450000000000000.0,1,centroid,RES1-2SWB,RES1-2SWB,POINT (-79.92764997 32.77305777),SR-3,Neighborhood
573779333,573779333,RES,RES1-3SNB,359603.786,179801.893,8.117649915,-79.92796409,32.77345267,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92796409 32.773452674),SR-3,Neighborhood
573779337,573779337,RES,RES3A,361930.15,180965.075,7.920287353,-79.92876921,32.77355714,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92876921 32.773557141),SR-4,Neighborhood
573779339,573779339,RES,RES1-2SNB,209933.749,104966.874,8.233008373,-79.92851868,32.77360264,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92851868 32.773602636),SR-5,Neighborhood
573779343,573779343,RES,RES3A,734947.16,367473.58,10.98024833,-79.9275327,32.77368465,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.9275327 32.773684646),SR-3,Neighborhood
573779347,573779347,RES,RES1-3SNB,416881.884,208440.942,9.133837177,-79.92878871,32.77379721,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92878871 32.773797213),SR-4,Neighborhood
573779363,573779363,RES,RES1-3SWB,555457.876,277728.938,11.82990944,-79.92881092,32.77420289,450000000000000.0,1,centroid,RES1-3SWB,RES1-3SWB,POINT (-79.92881092 32.77420289),SR-4,Neighborhood
573779371,573779371,RES,RES3A,498752.739,249376.369,11.84605589,-79.92885668,32.77438158,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92885668 32.774381581),SR-4,Neighborhood
573779373,573779373,RES,RES3A,519930.359,259965.179,11.55347686,-79.92837063,32.7743641,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92837063 32.774364097),SR-4,Neighborhood
573779377,573779377,RES,RES1-2SNB,338846.472,169423.236,11.17554351,-79.92804538,32.77440602,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92804538 32.774406017),SR-4,Neighborhood
573779389,573779389,PUB,GOV1,3347010.7,3347010.7,12.26769306,-79.92818964,32.77465216,450000000000000.0,1,centroid,GOV1,GOV1,POINT (-79.92818964 32.774652162),SR-5,Neighborhood
573779395,573779395,RES,RES1-3SNB,560908.801,280454.4,12.86979385,-79.92895577,32.77468858,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92895577 32.774688584),SR-5,Neighborhood
573779400,573779400,RES,RES1-3SNB,295330.613,147665.306,12.05634687,-79.9287278,32.77477883,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.9287278 32.774778834),SR-5,Neighborhood
573779409,573779409,RES,RES1-3SNB,347198.428,173599.214,11.85238634,-79.92823428,32.77487504,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92823428 32.774875039),SR-5,Neighborhood
573779411,573779411,RES,RES3A,338757.613,169378.806,12.69462033,-79.92807351,32.77492452,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92807351 32.774924516),SR-5,Neighborhood
573782602,573782602,RES,RES3A,449531.369,224765.684,5.748614344,-79.93042563,32.77337304,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93042563 32.773373042),SR-3,Neighborhood
573782423,573782423,RES,RES1-2SNB,350729.362,175364.681,8.410483946,-79.92902039,32.77224466,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92902039 32.772244664),SR-4,Neighborhood
573782429,573782429,RES,RES1-3SWB,454497.005,227248.502,8.957721873,-79.92934543,32.77247594,450000000000000.0,1,centroid,RES1-3SWB,RES1-3SWB,POINT (-79.92934543 32.772475941),SR-4,Neighborhood
573782431,573782431,RES,RES1-2SNB,326388.249,163194.124,7.355618587,-79.92880246,32.77246296,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92880246 32.772462962),SR-4,Neighborhood
573782441,573782441,RES,RES3A,593675.063,296837.531,5.216984309,-79.92814677,32.7725963,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92814677 32.772596301),SR-3,Neighborhood
573782447,573782447,RES,RES1-2SNB,311108.691,155554.345,6.616079018,-79.92898265,32.77275848,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92898265 32.772758478),SR-4,Neighborhood
573782451,573782451,RES,RES3A,544856.056,272428.028,7.025245362,-79.92917171,32.77284341,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92917171 32.772843413),SR-4,Neighborhood
573782520,573782520,RES,RES3A,474778.955,237389.477,11.82679154,-79.92830824,32.77513102,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92830824 32.775131023),SR-5,Neighborhood
573782522,573782522,RES,RES1-2SNB,287477.568,143738.784,12.52594466,-79.92850464,32.77512307,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92850464 32.775123069),SR-5,Neighborhood
573782530,573782530,RES,RES1-3SNB,503736.804,251868.402,13.34200893,-79.92889412,32.775479,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92889412 32.775479003),SR-5,Neighborhood
573782534,573782534,RES,RES1-3SNB,372897.871,186448.935,12.63697826,-79.92850842,32.77551471,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92850842 32.775514706),SR-5,Neighborhood
573782550,573782550,RES,RES3A,456326.249,228163.124,13.27183658,-79.92864798,32.7759466,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92864798 32.775946597),SR-5,Neighborhood
573782560,573782560,RES,RES3A,539316.135,269658.067,9.696492527,-79.93009086,32.77210115,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93009086 32.772101145),SR-4,Neighborhood
573782564,573782564,RES,RES1-1SNB,284460.656,142230.328,9.844964416,-79.92975895,32.7721826,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92975895 32.772182602),SR-4,Neighborhood
573782568,573782568,RES,RES1-3SWB,871746.439,435873.219,9.53474335,-79.93022107,32.77233941,450000000000000.0,1,centroid,RES1-3SWB,RES1-3SWB,POINT (-79.93022107 32.77233941),SR-3,Neighborhood
