Water Depth [inch],Factor
135.8268,0.8592
136.2205,0.86
136.6142,0.8607
137.0079,0.8615
137.4016,0.8623
137.7953,0.8631
138.189,0.8639
138.5827,0.8647
138.9764,0.8655
139.3701,0.8663
139.7638,0.867
140.1575,0.8678
140.5512,0.8686
140.9449,0.8694
141.3386,0.8702
141.7323,0.871
142.126,0.8718
142.5197,0.8726
142.9134,0.8733
143.3071,0.8741
143.7008,0.8749
144.0945,0.8757
144.4882,0.8765
144.8819,0.8773
145.2756,0.8781
145.6693,0.8789
146.063,0.8796
146.4567,0.8804
146.8504,0.8812
147.2441,0.882
147.6378,0.8828
148.0315,0.8836
148.4252,0.8844
148.8189,0.8852
149.2126,0.8859
149.6063,0.8867
150,0.8875
150.3937,0.8883
150.7874,0.8891
151.1811,0.8899
151.5748,0.8907
151.9685,0.8915
152.3622,0.8922
152.7559,0.893
153.1496,0.8938
153.5433,0.8946
153.937,0.8954
154.3307,0.8962
154.7244,0.897
155.1181,0.8978
155.5118,0.8985
155.9055,0.8993
156.2992,0.9001
156.6929,0.9009
157.0866,0.9017
157.4803,0.9025
157.874,0.9031
158.2677,0.9037
158.6614,0.9042
159.0551,0.9048
159.4488,0.9054
159.8425,0.906
160.2362,0.9066
160.6299,0.9072
161.0236,0.9078
161.4173,0.9084
161.811,0.9089
162.2047,0.9095
162.5984,0.9101
162.9921,0.9107
163.3858,0.9113
163.7795,0.9119
164.1732,0.9125
164.5669,0.9131
164.9606,0.9136
165.3543,0.9142
165.748,0.9148
166.1417,0.9154
166.5354,0.916
166.9291,0.9166
167.3228,0.9172
167.7165,0.9178
168.1102,0.9183
168.5039,0.9189
168.8976,0.9195
169.2913,0.9201
169.685,0.9207
170.0787,0.9213
170.4724,0.9219
170.8661,0.9225
171.2598,0.923
171.6535,0.9236
172.0472,0.9242
172.4409,0.9248
172.8346,0.9254
173.2283,0.926
173.622,0.9266
174.0157,0.9272
174.4094,0.9278
174.8031,0.9283
175.1969,0.9289
175.5906,0.9295
175.9843,0.9301
176.378,0.9307
176.7717,0.9313
177.1654,0.9319
177.5591,0.9325
177.9528,0.933
178.3465,0.9336
178.7402,0.9342
179.1339,0.9348
179.5276,0.9354
179.9213,0.936
180.315,0.9366
180.7087,0.9372
181.1024,0.9377
181.4961,0.9383
181.8898,0.9389
182.2835,0.9395
182.6772,0.9401
183.0709,0.9407
183.4646,0.9413
183.8583,0.9419
184.252,0.9424
184.6457,0.943
185.0394,0.9436
185.4331,0.9442
185.8268,0.9448
186.2205,0.9454
186.6142,0.946
187.0079,0.9466
187.4016,0.9471
187.7953,0.9477
188.189,0.9483
188.5827,0.9489
188.9764,0.9495
189.3701,0.9501
189.7638,0.9507
190.1575,0.9513
190.5512,0.9518
190.9449,0.9524
191.3386,0.953
191.7323,0.9536
192.126,0.9542
192.5197,0.9548
192.9134,0.9554
193.3071,0.956
193.7008,0.9565
194.0945,0.9571
194.4882,0.9577
194.8819,0.9583
195.2756,0.9589
195.6693,0.9595
196.063,0.9601
196.4567,0.9607
196.8504,0.9612
197.2441,0.9616
197.6378,0.962
198.0315,0.9624
198.4252,0.9628
198.8189,0.9632
199.2126,0.9636
199.6063,0.964
200,0.9643
200.3937,0.9647
200.7874,0.9651
201.1811,0.9655
201.5748,0.9659
201.9685,0.9663
202.3622,0.9667
202.7559,0.9671
203.1496,0.9674
203.5433,0.9678
203.937,0.9682
204.3307,0.9686
204.7244,0.969
205.1181,0.9694
205.5118,0.9698
205.9055,0.9702
206.2992,0.9705
206.6929,0.9709
207.0866,0.9713
207.4803,0.9717
207.874,0.9721
208.2677,0.9725
208.6614,0.9729
209.0551,0.9733
209.4488,0.9736
209.8425,0.974
210.2362,0.9744
210.6299,0.9748
211.0236,0.9752
211.4173,0.9756
211.811,0.976
212.2047,0.9764
212.5984,0.9767
212.9921,0.9771
213.3858,0.9775
213.7795,0.9779
214.1732,0.9783
214.5669,0.9787
214.9606,0.9791
215.3543,0.9795
215.748,0.9798
216.1417,0.9802
216.5354,0.9806
216.9291,0.981
217.3228,0.9814
217.7165,0.9818
218.1102,0.9822
218.5039,0.9826
218.8976,0.9829
219.2913,0.9833
219.685,0.9837
220.0787,0.9841
220.4724,0.9845
220.8661,0.9849
221.2598,0.9853
221.6535,0.9857
222.0472,0.986
222.4409,0.9864
222.8346,0.9868
223.2283,0.9872
223.622,0.9876
224.0157,0.988
