object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,Aggregation Label: Census Block,ground_flht,extract_method,fn_damage_structure
574487014,574487014,RES,RES1-1SNB,99800.5923,49900.2961,12.54966215,4.5019E+14,1,centroid,RES1-1SNB
574487031,574487031,RES,RES1-1SNB,132828.659,66414.3298,9.900160509,4.5019E+14,1,centroid,RES1-1SNB
574487032,574487032,RES,RES1-1SNB,132828.659,66414.3298,10.23436189,4.5019E+14,1,centroid,RES1-1SNB
574487041,574487041,RES,RES1-1SNB,132828.659,66414.3298,9.996692659,4.5019E+14,1,centroid,RES1-1SNB
574487074,574487074,RES,RES3A,480189.335,240094.667,10.27389651,4.5019E+14,1,centroid,RES3A
574487076,574487076,RES,RES1-2SNB,174754.859,87377.4295,10.94457628,4.5019E+14,1,centroid,RES1-2SNB
574487077,574487077,RES,RES1-1SNB,119798.897,59899.4487,11.15131523,4.5019E+14,1,centroid,RES1-1SNB
574487084,574487084,RES,RES1-2SNB,279153.339,139576.669,9.454224669,4.5019E+14,1,centroid,RES1-2SNB
574487093,574487093,RES,RES1-2SNB,222885.093,111442.546,9.54534625,4.5019E+14,1,centroid,RES1-2SNB
574487094,574487094,RES,RES1-2SNB,187761.29,93880.6453,8.094838231,4.5019E+14,1,centroid,RES1-2SNB
573789243,573789243,RES,RES1-2SNB,194878.739,97439.3697,4.576184686,4.5019E+14,1,centroid,RES1-2SNB
573789247,573789247,RES,RES1-2SNB,373244.58,186622.29,3.9295521,4.5019E+14,1,centroid,RES1-2SNB
573789251,573789251,RES,RES1-3SNB,332044.938,166022.469,4.339080609,4.5019E+14,1,centroid,RES1-3SNB
573789170,573789170,RES,RES1-2SNB,310407.305,155203.652,6.079717766,4.5019E+14,1,centroid,RES1-2SNB
573789175,573789175,RES,RES1-2SNB,187328.797,93664.3986,5.034285898,4.5019E+14,1,centroid,RES1-2SNB
573789221,573789221,RES,RES1-2SNB,278796.48,139398.24,4.240934753,4.5019E+14,1,centroid,RES1-2SNB
573789222,573789222,RES,RES1-3SNB,287758.033,143879.016,4.189919198,4.5019E+14,1,centroid,RES1-3SNB
573789223,573789223,RES,RES1-2SNB,315958.475,157979.237,4.409536508,4.5019E+14,1,centroid,RES1-2SNB
573789231,573789231,RES,RES1-1SNB,216493.88,108246.94,4.252675773,4.5019E+14,1,centroid,RES1-1SNB
573789235,573789235,RES,RES1-3SNB,493671.975,246835.987,4.885055262,4.5019E+14,1,centroid,RES1-3SNB
573789298,573789298,RES,RES3A,142877.236,71438.6183,5.348847074,4.5019E+14,1,centroid,RES3A
573789315,573789315,RES,RES3A,593431.397,296715.698,5.033460663,4.5019E+14,1,centroid,RES3A
573789343,573789343,RES,RES1-2SNB,395758.247,197879.123,3.844072623,4.5019E+14,1,centroid,RES1-2SNB
573789364,573789364,RES,RES1-2SNB,152780.471,76390.2355,4.042625713,4.5019E+14,1,centroid,RES1-2SNB
573789435,573789435,RES,RES3A,458822.049,229411.024,5.326869621,4.5019E+14,1,centroid,RES3A
573789439,573789439,RES,RES3A,618321.7,309160.85,4.485365822,4.5019E+14,1,centroid,RES3A
573789440,573789440,RES,RES1-3SNB,265790.941,132895.47,4.433242653,4.5019E+14,1,centroid,RES1-3SNB
573789442,573789442,RES,RES1-2SNB,273295.341,136647.67,5.175401463,4.5019E+14,1,centroid,RES1-2SNB
573789443,573789443,RES,RES3A,239773.053,119886.526,4.40447598,4.5019E+14,1,centroid,RES3A
573789711,573789711,RES,RES1-2SNB,349468.95,174734.475,4.533345215,4.5019E+14,1,centroid,RES1-2SNB
573789715,573789715,RES,RES1-2SNB,258723.133,129361.566,4.396553725,4.5019E+14,1,centroid,RES1-2SNB
573789717,573789717,RES,RES1-1SNB,237254.135,118627.067,4.302277086,4.5019E+14,1,centroid,RES1-1SNB
573789733,573789733,RES,RES3B,329295.975,164647.987,3.517718018,4.5019E+14,1,centroid,RES3B
573794188,573794188,RES,RES3A,163268.186,81634.0932,5.943214911,4.5019E+14,1,centroid,RES3A
573794196,573794196,RES,RES3A,488641.355,244320.677,3.856210616,4.5019E+14,1,centroid,RES3A
573794202,573794202,RES,RES3A,156710.322,78355.161,7.754400269,4.5019E+14,1,centroid,RES3A
573794267,573794267,RES,RES1-2SNB,196385.717,98192.8589,4.610830865,4.5019E+14,1,centroid,RES1-2SNB
