object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,X Coordinate,Y Coordinate,aggregation_label: Census Block,ground_flht,extract_method,fn_damage_structure,Zoning_map
574486764,574486764,RES,RES1-1SNB,219301.912,109650.956,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-1SNB,DR-2
574486767,574486767,RES,RES1-1SNB,211724.157,105862.078,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-1SNB,DR-2
574486772,574486772,RES,RES1-2SNB,265553.647,132776.823,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-2SNB,DR-2
574486773,574486773,RES,RES1-3SNB,386236.362,193118.181,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-3SNB,DR-2
574486778,574486778,RES,RES1-2SNB,206866.988,103433.494,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-2SNB,DR-2
574486780,574486780,RES,RES1-1SNB,226936.995,113468.497,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-1SNB,DR-2
574486781,574486781,RES,RES1-1SNB,220743.64,110371.82,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-1SNB,DR-2
574486783,574486783,RES,RES1-1SNB,198413.344,99206.6723,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-1SNB,DR-2
574486784,574486784,RES,RES1-3SNB,386095.796,193047.898,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-3SNB,DR-2
574486785,574486785,RES,RES1-2SNB,281628.918,140814.459,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-2SNB,DR-2
574486786,574486786,RES,RES1-2SNB,214952.086,107476.043,6.284586445474624,-79.94233945,32.774283067,450190001003024,1,centroid,RES1-2SNB,DR-2
574486813,574486813,RES,RES1-1SNB,182987.318,91493.6592,4.13696179962635,-79.94176671,32.775167289,450190001003008,1,centroid,RES1-1SNB,STR
574486814,574486814,RES,RES1-1SNB,182987.318,91493.6592,4.13696179962635,-79.94176671,32.775167289,450190001003008,1,centroid,RES1-1SNB,STR
574486824,574486824,RES,RES1-1SNB,214165.178,107082.589,3.892720026645661,-79.94141607,32.775137429,450190001003008,1,centroid,RES1-1SNB,STR
573785647,573785647,RES,RES1-2SWB,413872.94,206936.47,7.510136202592849,-79.93156324,32.77305763,450190002002004,1,centroid,RES1-2SWB,SR-5
573785655,573785655,RES,RES3A,616072.223,308036.111,7.947502115211487,-79.93214602,32.773223821,450190002002004,1,centroid,RES3A,SR-4
573785667,573785667,RES,RES3A,620256.124,310128.062,8.664327777318954,-79.93212927,32.773402315,450190002002004,1,centroid,RES3A,SR-4
573785685,573785685,RES,RES1-1SNB,240245.587,120122.793,6.9692529758358,-79.93186254,32.773103223,450190002002004,1,centroid,RES1-1SNB,SR-4
573785687,573785687,RES,RES3A,537354.289,268677.144,7.212260025262832,-79.93202076,32.772853535,450190002002004,1,centroid,RES3A,SR-4
573785804,573785804,RES,RES3A,502072.709,251036.354,9.473529690799714,-79.93294367,32.774517966,450190002001025,1,centroid,RES3A,SR-4
573785818,573785818,RES,RES1-3SNB,308853.077,154426.538,10.075773632898333,-79.93268368,32.774942759,450190002001025,1,centroid,RES1-3SNB,SR-5
573785822,573785822,RES,RES3A,548698.639,274349.319,10.46825693367958,-79.93311344,32.775004853,450190002001025,1,centroid,RES3A,SR-4
573785824,573785824,RES,RES1-2SNB,283978.897,141989.448,10.348636978378297,-79.93272994,32.775103143,450190002001025,1,centroid,RES1-2SNB,SR-5
573785829,573785829,RES,RES1-3SNB,350388.811,175194.405,10.47396239684105,-79.93277277,32.775330838,450190002001025,1,centroid,RES1-3SNB,SR-5
573785835,573785835,RES,RES1-2SNB,401521.78,200760.89,11.244843685112,-79.93319615,32.775518126,450190002001025,1,centroid,RES1-2SNB,SR-4
573785862,573785862,COM,RES4,359664.136,179832.068,11.093774065446851,-79.93319429,32.775289372,450190002001025,1,centroid,RES4,SR-4
573785881,573785881,RES,RES3A,569645.503,284822.751,6.889657306118012,-79.93276144,32.771764566,450190002002003,1,centroid,RES3A,SR-4
573785893,573785893,RES,RES3B,429959.343,214979.671,6.7267003922843935,-79.93278038,32.771943839,450190002002003,1,centroid,RES3B,SR-4
573785909,573785909,RES,RES1-2SWB,765082.983,382541.491,6.680025729980469,-79.93250085,32.772570233,450190002002003,1,centroid,RES1-2SWB,SR-4
573785923,573785923,RES,RES1-1SNB,362759.729,181379.864,8.501673579998016,-79.93293189,32.77302771,450190002002003,1,centroid,RES1-1SNB,SR-4
573785937,573785937,RES,RES1-3SNB,402854.138,201427.069,7.845348198699951,-79.93264071,32.773541761,450190002002003,1,centroid,RES1-3SNB,SR-4
573785943,573785943,COM,RES4,1766943.44,883471.724,10.004287949752808,-79.93348458,32.773706484,450190002002003,1,centroid,RES4,SR-3
573785952,573785952,RES,RES1-1SNB,254092.507,127046.253,9.664484362096786,-79.93290514,32.773895802,450190002002003,1,centroid,RES1-1SNB,SR-5
573785960,573785960,RES,RES3A,460985.216,230492.608,9.338928788080215,-79.93286039,32.774008405,450190002002003,1,centroid,RES3A,SR-5
573785972,573785972,COM,RES4,306288.802,153144.401,8.238413466110229,-79.93320286,32.774123107,450190002002003,1,centroid,RES4,SR-3
573785978,573785978,RES,RES3A,615199.018,307599.509,9.595408677854538,-79.93298733,32.774283026,450190002002003,1,centroid,RES3A,SR-5
573785980,573785980,RES,RES1-2SNB,334573.565,167286.782,10.011227745361328,-79.93290608,32.774317505,450190002002003,1,centroid,RES1-2SNB,SR-5
573831672,573831672,RES,RES1-3SWB,561431.82,280715.91,11.194862607564929,-79.93148619,32.774760872,450190002001026,1,centroid,RES1-3SWB,SR-5
573831674,573831674,PUB,GOV1,63728.8178,63728.8178,11.194862607564929,-79.93148619,32.774760872,450190002001026,1,centroid,GOV1,SR-5
573831676,573831676,RES,RES1-2SNB,281628.918,140814.459,10.863806510248184,-79.93237436,32.774817891,450190002001026,1,centroid,RES1-2SNB,SR-5
573831687,573831687,RES,RES1-2SNB,333588.869,166794.434,11.221937353439332,-79.93184157,32.774769794,450190002001026,1,centroid,RES1-2SNB,SR-5
573831705,573831705,RES,RES1-2SNB,207424.581,103712.29,11.001422062683105,-79.93227468,32.775209382,450190002001026,1,centroid,RES1-2SNB,SR-5
573831725,573831725,COM,COM4,179232.711,179232.711,11.382909792356491,-79.93185937,32.775545192,450190002001026,1,centroid,COM4,SR-5
