Country,ISO A3 code,Construction Cost Residential (2010 €),Construction Cost Commercial (2010 €),Construction Cost Industrial (2010 €),GDP per capita (2010 US$)
Turkey,TUR,840.7678195,909.0226081,617.1511737,10135.74889
Turkmenistan,TKM,609.258149,674.2093209,470.3412876,4392.719583
Turks and Caicos Islands,TCA,0,0,0,
Tuvalu,TUV,541.7571852,604.6144612,425.9901528,3238.496111
Uganda,UGA,257.9339136,303.6984072,227.8013233,471.6772799
Ukraine,UKR,524.2653458,586.480644,414.3595076,2973.996481
United Arab Emirates,ARE,1338.39364,1399.29964,913.4657812,33885.92544
United Kingdom,GBR,1403.929998,1462.762918,951.0510097,38363.44144
United States,USA,1535.128339,1589.179758,1025.485052,48377.39385
Uruguay,URY,883.5808782,951.8931086,643.5542154,11530.6375
Uzbekistan,UZB,389.7155571,445.3957364,322.6539974,1377.08214
Vanuatu,VUT,523.7050483,585.8990684,413.9859612,2965.75223
"Venezuela, RB",VEN,940.4940871,1008.652162,678.3457096,13559.1268
Vietnam,VNM,384.9268446,440.3155609,319.3067255,1333.583526
Virgin Islands (U.S.),VIR,0,0,0,
West Bank and Gaza,WBK,477.9151691,538.2135379,383.2392798,2338.719877
"Yemen, Rep.",YEM,391.6104795,447.4047457,323.9767516,1394.532356
Zambia,ZMB,406.1834985,462.8319817,334.1164149,1533.284355
Zimbabwe,ZWE,304.0875047,353.8125042,261.7309963,723.1646486
Arab World,,688.4632967,755.1677558,521.4148354,6032.961957
Caribbean small states,,790.1940967,858.176897,585.6887235,8628.040548
Central Europe and the Baltics,,910.1484031,978.4205134,659.8374901,12452.42393
East Asia & Pacific (all income levels),,747.1326956,814.69888,558.6508158,7459.925785
East Asia & Pacific (developing only),,581.1203983,645.2701263,451.952199,3885.285375
Euro area,,1396.099176,1455.191248,946.5747105,37810.39975
Europe & Central Asia (all income levels),,1160.579708,1225.941692,809.9808238,23404.56246
Europe & Central Asia (developing only),,695.6676619,762.497068,526.0132414,6198.226006
European Union,,1333.40006,1394.454954,910.5902978,33558.68486
Fragile and conflict affected situations,,385.0336564,440.4289233,319.3814569,1334.544411
Heavily indebted poor countries (HIPC),,304.396205,354.1457495,261.9550863,725.0720456
High income,,1370.68967,1430.60143,932.0227703,36049.74575
High income: nonOECD,,1011.16617,1078.790074,721.0937306,16365.16378
High income: OECD,,1436.538508,1494.259726,969.6491483,40719.73453
Latin America & Caribbean (all income levels),,800.4477823,868.5042456,592.092518,8921.709283
Latin America & Caribbean (developing only),,789.8817706,857.8621759,585.4934613,8619.190138
Least developed countries: UN classification,,306.9202877,356.8696113,263.786024,740.783932
Low & middle income,,550.2755514,613.4300903,431.6328016,3372.353103
Low income,,278.0739669,325.6401173,242.7150655,573.3383774
Lower middle income,,428.2373211,486.1031184,349.3538185,1758.870697
Middle East & North Africa (all income levels),,731.6080402,798.9801455,548.8437391,7064.157652
Middle East & North Africa (developing only),,587.8962986,652.2480899,456.3930076,4003.990437
Middle income,,578.1200708,642.1784542,449.9832508,3833.423532
North America,,1534.116169,1588.207548,1024.914724,48294.6308
Not classified,,0,0,0,
OECD members,,1365.472771,1425.548772,929.029866,35694.63064
Other small states,,603.3144103,668.104474,466.4681079,4282.33261
Pacific island small states,,519.2084856,581.2301108,410.9858615,2900.098166
Small states,,651.8023465,717.7838518,497.896087,5234.023815
South Asia,,380.9688613,436.1132346,316.5352054,1298.2767
Sub-Saharan Africa (all income levels),,404.7294533,461.2945231,333.1073044,1519.075782
Sub-Saharan Africa (developing only),,403.459255,459.9511318,332.2253196,1506.730202
Upper middle income,,686.6152167,753.2867342,520.2340306,5991.009883
World,,819.1951012,887.361663,603.7678544,9474.35556
