Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Finished Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content
574268763,574268763,RES,RES1-3SWB,542530.718,271265.359,6.593305662,-79.93621765,32.77424536,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
574268903,574268903,RES,RES3A,460804.799,230402.399,6.55310577,-79.93592034,32.77132878,4.5019E+14,1,centroid,RES3A,RES3A
574294748,574294748,RES,RES3A,624977.71,312488.855,6.287222895,-79.93750411,32.77049619,4.5019E+14,1,centroid,RES3A,RES3A
574371898,574371898,RES,RES1-2SNB,287814.394,143907.197,4.712370744,-79.93651909,32.77254407,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574486883,574486883,RES,RES1-1SNB,204613.394,102306.697,7.901773149,-79.93598957,32.77395026,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573868251,573868251,RES,RES1-2SWB,186296.582,93148.2912,6.215145077,-79.94589798,32.77724485,4.5019E+14,1,centroid,RES1-2SWB,RES1-2SWB
574268946,574268946,RES,RES3A,530762.085,265381.042,6.412532278,-79.93725354,32.77712865,4.5019E+14,1,centroid,RES3A,RES3A
573818740,573818740,RES,RES1-1SNB,367030.342,183515.171,8.196347604,-79.92680082,32.7761027,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574267652,574267652,COM,COM4,1272969.44,1272969.44,9.184559793,-79.92716263,32.77322524,4.5019E+14,1,centroid,COM4,COM4
574268559,574268559,RES,RES3A,475021.661,237510.83,5.453385959,-79.93523879,32.77004074,4.5019E+14,1,centroid,RES3A,RES3A
574268789,574268789,RES,RES1-3SWB,736436.61,368218.305,6.868733885,-79.93662462,32.77499479,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
574371932,574371932,RES,RES3A,331711.866,165855.933,5.044782417,-79.93668375,32.77390499,4.5019E+14,1,centroid,RES3A,RES3A
574372449,574372449,RES,RES1-3SNB,351924.362,175962.181,12.7991248,-79.92830278,32.77620262,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574409965,574409965,RES,RES1-3SNB,403001.842,201500.921,5.001365673,-79.93831937,32.77133619,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574431439,574431439,RES,RES1-2SNB,304886.296,152443.148,4.663060414,-79.94143723,32.77365876,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574431711,574431711,RES,RES1-3SNB,382538.219,191269.109,6.256088463,-79.9355996,32.77158305,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574461075,574461075,RES,RES3A,266985.928,133492.964,12.4406709,-79.92903083,32.7763684,4.5019E+14,1,centroid,RES3A,RES3A
574486889,574486889,RES,RES3A,480189.335,240094.667,7.664248632,-79.93469895,32.77390766,4.5019E+14,1,centroid,RES3A,RES3A
574488862,574488862,RES,RES1-2SNB,215788.475,107894.237,11.14745814,-79.92787671,32.77403071,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574488872,574488872,RES,RES3A,480189.335,240094.667,8.192235509,-79.92970963,32.77176742,4.5019E+14,1,centroid,RES3A,RES3A
573779317,573779317,RES,RES1-2SNB,331997.67,165998.835,6.543342185,-79.9287439,32.77318258,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573782572,573782572,RES,RES1-1SNB,318258.702,159129.351,9.149605814,-79.92987574,32.77244495,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573785653,573785653,RES,RES1-2SNB,228334.317,114167.158,7.084059973,-79.93191169,32.77318443,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573785839,573785839,RES,RES3A,599084.053,299542.026,10.7268136,-79.93324946,32.77561944,4.5019E+14,1,centroid,RES3A,RES3A
573785899,573785899,RES,RES3B,445783.209,222891.604,8.479128631,-79.93236015,32.77214163,4.5019E+14,1,centroid,RES3B,RES3B
573789723,573789723,RES,RES1-1SNB,229106.199,114553.099,4.602850726,-79.93899668,32.77352521,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573795552,573795552,RES,RES3A,533913.604,266956.802,3.615668712,-79.93958966,32.77436045,4.5019E+14,1,centroid,RES3A,RES3A
573795664,573795664,RES,RES1-2SNB,193189.366,96594.6832,4.263146479,-79.93997171,32.77726508,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573807503,573807503,RES,RES1-1SWB,195452.158,97726.0793,5.986681326,-79.94603081,32.77668958,4.5019E+14,1,centroid,RES1-1SWB,RES1-1SWB
574372060,574372060,RES,RES3A,512672.958,256336.479,4.332204955,-79.94054419,32.77281234,4.5019E+14,1,centroid,RES3A,RES3A
574372072,574372072,RES,RES1-2SWB,413199.939,206599.969,4.173259621,-79.94018291,32.77301045,4.5019E+14,1,centroid,RES1-2SWB,RES1-2SWB
574371910,574371910,RES,RES1-2SNB,365670.564,182835.282,6.599765961,-79.93666954,32.77311588,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
