Water Depth [ft],Factor
13.7139,0.9132
13.7467,0.9139
13.7795,0.9146
13.8123,0.915
13.8451,0.9155
13.878,0.9159
13.9108,0.9163
13.9436,0.9168
13.9764,0.9172
14.0092,0.9176
14.042,0.9181
14.0748,0.9185
14.1076,0.9189
14.1404,0.9194
14.1732,0.9198
14.206,0.9202
14.2388,0.9206
14.2717,0.9211
14.3045,0.9215
14.3373,0.9219
14.3701,0.9224
14.4029,0.9228
14.4357,0.9232
14.4685,0.9237
14.5013,0.9241
14.5341,0.9245
14.5669,0.925
14.5997,0.9254
14.6325,0.9258
14.6654,0.9262
14.6982,0.9267
14.731,0.9271
14.7638,0.9275
14.7966,0.928
14.8294,0.9284
14.8622,0.9288
14.895,0.9293
14.9278,0.9297
14.9606,0.9301
14.9934,0.9306
15.0262,0.931
15.0591,0.9314
15.0919,0.9319
15.1247,0.9323
15.1575,0.9327
15.1903,0.9331
15.2231,0.9336
15.2559,0.934
15.2887,0.9344
15.3215,0.9349
15.3543,0.9353
15.3871,0.9357
15.4199,0.9362
15.4528,0.9366
15.4856,0.937
15.5184,0.9375
15.5512,0.9379
15.584,0.9383
15.6168,0.9387
15.6496,0.9392
15.6824,0.9396
15.7152,0.94
15.748,0.9405
15.7808,0.9409
15.8136,0.9413
15.8465,0.9418
15.8793,0.9422
15.9121,0.9426
15.9449,0.9431
15.9777,0.9435
16.0105,0.9439
16.0433,0.9444
16.0761,0.9448
16.1089,0.9452
16.1417,0.9456
16.1745,0.9461
16.2073,0.9465
16.2402,0.9469
16.273,0.9474
16.3058,0.9478
16.3386,0.9482
16.3714,0.9487
16.4042,0.9491
16.437,0.9495
16.4698,0.95
16.5026,0.9504
16.5354,0.9508
16.5682,0.9512
16.601,0.9517
16.6339,0.9521
16.6667,0.9525
16.6995,0.953
16.7323,0.9534
16.7651,0.9538
16.7979,0.9543
16.8307,0.9547
16.8635,0.9551
16.8963,0.9556
16.9291,0.956
16.9619,0.9564
16.9948,0.9569
17.0276,0.9573
17.0604,0.9577
17.0932,0.9581
17.126,0.9586
17.1588,0.959
17.1916,0.9594
17.2244,0.9599
17.2572,0.9603
17.29,0.9607
17.3228,0.9612
17.3556,0.9616
17.3885,0.962
17.4213,0.9625
17.4541,0.9629
17.4869,0.9633
17.5197,0.9638
17.5525,0.9642
17.5853,0.9646
17.6181,0.965
17.6509,0.9655
17.6837,0.9659
17.7165,0.9663
17.7493,0.9668
17.7822,0.9672
17.815,0.9676
17.8478,0.9681
17.8806,0.9685
17.9134,0.9689
17.9462,0.9694
17.979,0.9698
18.0118,0.9702
18.0446,0.9706
18.0774,0.9711
18.1102,0.9715
18.143,0.9719
18.1759,0.9724
18.2087,0.9728
18.2415,0.9732
18.2743,0.9737
18.3071,0.9741
18.3399,0.9745
18.3727,0.975
18.4055,0.9754
18.4383,0.9758
18.4711,0.9763
18.5039,0.9767
18.5367,0.9771
18.5696,0.9775
18.6024,0.978
18.6352,0.9784
18.668,0.9788
18.7008,0.9793
18.7336,0.9797
18.7664,0.9801
18.7992,0.9806
18.832,0.981
18.8648,0.9814
18.8976,0.9819
18.9304,0.9823
18.9633,0.9827
18.9961,0.9831
19.0289,0.9836
19.0617,0.984
19.0945,0.9844
19.1273,0.9849
19.1601,0.9853
19.1929,0.9857
19.2257,0.9862
19.2585,0.9866
19.2913,0.987
19.3241,0.9875
19.357,0.9879
19.3898,0.9883
19.4226,0.9888
19.4554,0.9892
19.4882,0.9896
19.521,0.99
19.5538,0.9905
19.5866,0.9909
19.6194,0.9913
19.6522,0.9918
19.685,0.9922
19.7178,0.9926
19.7507,0.9931
19.7835,0.9935
19.8163,0.9939
19.8491,0.9944
19.8819,0.9947
19.9147,0.9951
19.9475,0.9955
19.9803,0.9959
20.0131,0.9962
20.0459,0.9966
20.0787,0.997
20.1115,0.9974
20.1444,0.9977
20.1772,0.9981
20.21,0.9985
20.2428,0.9989
20.2756,0.9992
20.3084,0.9996
203.412,10
20.374,10
204.068,10
204.396,10
204.724,10
205.052,10
205.381,10
205.709,10
206.037,10
206.365,10
206.693,10
207.021,10
207.349,10
207.677,10
208.005,10
208.333,10
208.661,10
20.899,10
209.318,10
209.646,10
209.974,10
210.302,10
21.063,10
210.958,10
211.286,10
211.614,10
211.942,10
21.227,10
212.598,10
212.927,10
213.255,10
213.583,10
213.911,10
214.239,10
214.567,10
214.895,10
215.223,10
215.551,10
215.879,10
216.207,10
216.535,10
216.864,10
217.192,10
21.752,10
217.848,10
218.176,10
218.504,10
218.832,10
21.916,10
219.488,10
219.816,10
220.144,10
220.472,10
220.801,10
221.129,10
221.457,10
221.785,10
222.113,10
222.441,10
222.769,10
223.097,10
223.425,10
223.753,10
224.081,10
224.409,10
224.738,10
225.066,10
225.394,10
225.722,10
22.605,10
226.378,10
226.706,10
227.034,10
227.362,10
22.769,10
228.018,10
228.346,10
228.675,10
229.003,10
229.331,10
229.659,10
229.987,10
230.315,10
230.643,10
230.971,10
231.299,10
231.627,10
231.955,10
232.283,10
232.612,10
23.294,10
233.268,10
233.596,10
233.924,10
234.252,10
23.458,10
